13,25.56,46,25.89,37,33
14,25.81,39,24.21,33,33.1
15,26.2,35,24.66,28,32.2
16,24.75,45,24.75,0,31.5
17,24.13,47,23.53,0,29.3
18,23.33,53,23.71,1,27.1
19,22.17,59,23.04,1,24.1
20,21.91,60,22.48,10,21.1
21,21.67,65,22.9,19,19.8
22,21.36,74,23.24,43,19.1
23,20.8,82,23.33,42,19.7
0,20.42,72,20.71,42,18.3
1,20.75,79,21.48,48,18.5
2,20.42,71,20.79,41,17.9
3,19.88,72,20.45,42,17.2
4,17.97,81,18.51,21,16.1
5,16.7,91,17.77,16,15.2
6,16.61,93,15.53,75,16
7,17.22,92,18.86,10,16.8
8,18.95,85,20.76,8,18.8
9,21.79,71,23.27,20,23.8
10,24.5,63,26.25,0,29.3
11,24.12,57,23.78,0,32.8
12,23.73,56,22.64,1,34
13,23.39,57,21.51,7,34.3
14,22.87,61,20.38,16,31.8
15,25.31,56,26,25,32.3
16,25.25,51,26.02,93,30.6
17,23.99,50,19.74,94,28.2
18,22.97,54,23.02,98,25.3
19,20.5,69,21.04,98,22.1
20,18.82,77,19.7,84,19.2
21,17.78,78,14.64,70,17.3
22,17.34,69,13.64,36,16.3
23,16.6,82,13.83,0,15.5
0,15.99,83,13.43,0,14.8
1,15.44,84,13.14,0,14.2
2,15.37,75,12.85,0,13.4
3,14.33,87,12.11,0,12.8
4,13.72,90,11.64,0,12.2
5,12.57,92,10.45,0,11.7
6,13.02,83,10.62,0,11.2
7,17.78,70,18.16,0,14.8
8,19.75,62,19.83,0,19.4
9,21.42,56,21.5,0,24.2
10,22.53,49,22.31,0,28.9
11,22.84,48,22.3,0,31.1
12,23.4,43,23.16,0,32.6
13,22.22,62,22.43,0,30
14,21.05,63,21.28,0,33.9
15,21.91,50,19.43,0,32
16,21.67,60,21.53,11,29.2
17,21.11,59,21.35,35,27.4
18,19.69,63,19.82,41,25.6
19,19.29,60,15.39,36,21.8
20,17.22,68,17,24,18.5
21,16.67,74,13.44,20,16.5
22,15.75,81,12.93,0,15.7
23,15.52,77,12.67,0,14.2
0,15.41,77,12.88,0,13.8
1,14.33,88,12.58,10,13.5
2,14.82,76,14.42,19,12.8
3,14.02,91,12.72,20,12.1
4,14.66,77,12.76,1,11.4
5,15.39,72,15.22,3,11.4
6,15.63,88,15.02,2,12.8
7,19.19,75,19.43,2,18.2
8,20.31,70,21.18,1,22.9
9,19.74,64,18.03,1,24.2
10,21.67,62,22.02,0,29.3
11,22.78,52,22.27,0,26.4
12,23.64,45,23.34,0,28.1
13,24.2,47,24.25,0,32
14,24.51,45,24.44,0,32.7
15,24.75,43,24.23,0,32.7
16,23.95,46,22.58,0,29.7
17,22.78,53,22.36,0,28.7
18,21.36,64,22.09,0,25
19,20,71,20.53,0,21.1
20,19.69,74,20.65,0,19
21,19.69,75,20.73,0,17.9
22,19.69,75,20.73,0,17
23,19.69,74,20.65,0,17
0,19.69,73,20.58,0,16.8
1,19.13,74,19.9,0,17.4
2,18.82,77,19.7,0,17.3
3,18.28,79,19.12,0,16.8
4,17.71,81,15.68,0,16
5,17.4,85,15.74,0,16
6,18.33,80,19.26,0,16.6
7,19.75,74,20.73,0,19.9
8,19.34,72,17.96,0,22.8
9,21.67,67,22.13,0,25.8
10,23.33,62,23.92,0,29
11,25,56,26.21,0,30.1
12,23.39,72,22.63,40,32.2
13,25.56,46,25.89,0,32.9
14,25.32,41,23.53,0,34.8
15,25.57,37,23.34,0,31.9
16,26.49,36,23.89,0,29.9
17,25,44,24.96,0,28
18,23.89,52,24.34,0,26.2
19,22.47,69,24.02,7,23.9
20,21.91,68,23.48,25,21.2
21,21.36,69,22.51,38,19.9
22,21.05,72,22.34,100,18.6
23,20.8,72,22,24,18.4
0,20.19,77,21.87,17,18.1
1,19.93,78,21.59,13,17.8
2,19.63,74,20.57,19,17.2
3,19.08,75,20.22,16,16.8
4,18.51,76,19.22,0,16.7
5,18.52,74,16.72,0,16.5
6,18.28,78,16.74,0,16.6
7,19.38,77,20.46,0,18.5
8,20.86,68,21.76,0,22.2
9,22.54,65,23.13,0,25.8
10,23.95,61,25.3,0,30.9
11,25.62,51,26.51,0,32.2
12,26.67,46,26.71,0,33.8
13,27.78,35,27.14,0,34.5
14,27.78,35,27.14,0,34.5
15,28.08,34,27.39,0,34.7
16,27.84,35,27.21,0,32.7
17,27.35,34,24.12,0,31.6
18,25.97,42,22.59,0,28.8
19,23.33,59,23.96,0,25.2
20,22.46,61,19.96,0,22.2
21,21.92,64,22.84,0,20.6
22,21.52,66,19.31,0,19.5
23,21.38,65,18.71,0,19.1
0,20.89,64,18.32,0,19.2
1,21.36,68,22.43,1,19.3
2,20.87,64,17.96,1,19.9
3,20.45,63,17.24,1,19.5
4,19.06,77,16.21,0,17.7
5,19.26,70,16.3,0,17.8
6,19.12,67,15.97,0,17.6
7,20.56,69,21.12,0,19.9
8,21.73,64,22.27,0,22.3
9,21.77,59,18.88,0,25.8
10,22.82,53,19.87,6,30.4
11,24.32,46,21.34,40,31.3
12,25.4,43,22.38,62,32.7
13,28.33,38,27.58,2,34.8
14,28.08,37,24.49,2,36.1
15,28.34,35,24.56,1,36.3
16,30.69,28,30.13,0,34.5
17,29.71,31,25.65,0,33.6
18,28.75,35,25.03,0,31.3
19,27.27,40,23.94,0,27.6
20,25.45,47,22.37,0,24.1
21,24.87,52,22.17,0,21.8
22,23.71,59,21.23,0,20.1
23,23.86,61,21.3,0,20
0,23.64,62,24.97,0,20.4
1,23.35,64,21.23,0,22.4
2,23.05,66,21.01,14,22
3,22.66,68,20.85,29,21.7
4,22.78,74,24.91,99,21.7
5,22.52,72,21.63,90,21.5
6,22.3,70,21.06,89,21.2
7,22.76,66,20.9,90,23
8,23.66,62,21.99,88,23
9,24.1,60,23.16,88,24.9
10,25.1,56,25.48,100,27.3
11,27.18,48,28.25,100,30.5
12,29.38,41,30.09,100,34
13,30.48,38,30.35,100,35
14,31.3,36,30.72,100,36
15,32.04,35,31.61,98,29.4
16,26.48,53,24.44,51,26.9
17,27.55,51,26.44,51,26.4
18,23.28,66,24.23,69,24.4
19,22.33,72,19.18,65,22.5
20,21.01,78,18.26,55,21.1
21,20.24,83,18.3,46,20.9
22,20.09,86,19.3,80,20
23,19.8,89,18.47,90,19.6
0,19.69,95,22.24,100,19.6
1,19.6,93,18,92,19.8
2,19.56,92,19.38,81,20
3,19.69,97,21.3,100,20.1
4,19.69,97,22.39,100,19.8
5,19.98,95,19.71,100,19.7
6,20.22,93,21.97,100,19.8
7,20.62,91,23.48,100,20.2
8,20,97,22.21,100,21.8
9,20.86,94,23.87,100,22.9
10,21.51,89,24.11,100,26.1
11,23.89,82,27.27,85,28.7
12,25.05,73,28.1,75,32.6
13,25.85,67,28.05,69,28.3
14,27.45,60,29.64,61,28.9
15,26.98,61,29.09,59,32.1
16,26.91,61,28.98,56,28.9
17,27.12,60,29.44,50,31.2
18,26.99,59,29.51,38,29.5
19,25.98,65,28.59,29,25.4
20,21.6,94,24.27,30,22.9
21,21.31,95,23.93,13,21.8
22,22.41,83,24.24,0,21.2
23,20.44,97,22.45,0,20.6
0,20.19,98,22.05,0,19.4
1,20.92,89,22.52,0,19.7
2,21.04,85,22.29,0,19.6
3,21.11,91,22.42,0,19
4,19.31,89,21.25,0,19.2
5,19.28,73,16.1,0,17.4
6,16.92,64,16.36,0,16.7
7,17.4,48,12.57,0,17.4
8,19.19,36,16.89,0,21.2
9,20.56,30,18.01,0,24.4
10,21.43,30,19.33,0,27.8
11,21.47,26,16.13,0,30.9
12,22.61,22,17.72,0,32.4
13,23.76,20,19.17,0,33.5
14,24.44,31,22.94,0,34
15,24.44,29,22.74,0,33.3
16,24.93,32,23.94,0,32.3
17,24.07,31,22.5,0,30
18,24.02,29,21.6,0,27
19,20.98,43,19.81,0,23.5
20,20.43,41,17.84,0,19.6
21,19.63,44,18.32,0,17.8
22,18.9,49,15.87,0,16.2
23,18.52,61,16.07,0,14.2
0,18.53,59,18.36,0,13.5
1,17.97,50,14.04,0,13.1
2,17.78,56,14.41,0,12.6
3,18.34,50,14.93,0,12
4,18.33,60,18.18,0,11.5
5,17.71,55,14.38,0,10.9
6,17.47,61,17.16,0,12.3
7,18.09,58,17.12,0,17.1
8,19.44,57,17.8,0,20.4
9,19.58,51,15.62,0,23.9
10,20.84,47,17.14,0,27.3
11,24.44,47,23.92,0,31.1
12,25.56,45,25.16,0,32.8
13,26.67,45,26.91,0,32.8
14,26.97,46,27.73,0,34.3
15,27.61,42,28.09,0,34
16,27.73,40,26.49,0,33.2
17,27.59,46,28.55,0,32.3
18,26.98,48,28.29,0,30.3
19,24.75,55,22.9,0,27.2
20,23.33,69,22.43,0,23.6
21,23.33,75,26.09,0,21.8
22,24.2,68,23.26,0,21.4
23,24.44,59,22.19,0,20.7
0,25,59,26.53,0,21.2
1,24.22,58,21.87,0,23.1
2,23.58,73,25.63,0,22.9
3,23.02,77,25.21,45,22.5
4,22.16,80,21.12,0,21.6
5,21.91,82,24.38,16,21.4
6,22.53,78,24.29,21,21.2
7,23.09,78,25.72,26,23.4
8,23.39,76,25.33,34,26
9,24.2,76,27.13,0,28.5
10,25,73,25.77,0,29.3
11,26.09,58,24.2,0,28.8
12,24.63,54,16.06,75,25.4
13,26.84,47,26.49,58,22.7
14,20.95,88,20.56,90,20.7
15,22.29,88,20.69,75,23.3
16,23.35,60,22.15,75,25.4
17,22.82,73,22.63,75,24.6
18,21.99,73,21.82,75,24.6
19,20.3,82,19.51,75,22.9
20,20.46,82,20.08,0,20.9
21,19.46,82,19.74,0,19.8
22,19.46,93,20.21,0,18.4
23,18.93,93,19.46,0,18.2
0,18.69,93,19.82,72,17.8
1,19.76,88,19.84,63,17.9
2,18.52,96,20.64,42,17.7
3,18.27,95,17.86,35,17.7
4,17.78,96,19.59,0,17.6
5,17.72,97,17.14,0,17.3
6,18.39,89,17.72,0,18.2
7,21.18,83,23.43,0,20.3
8,23.94,75,26.96,0,24.3
9,26.19,67,29.06,0,28.6
10,28.7,59,32.02,0,33.1
11,29.5,54,32.2,0,35.7
12,29.5,47,29.44,0,38
13,32.29,41,34.18,0,39.5
14,32.84,39,34.61,0,40.4
15,32.78,37,34.2,0,39.7
16,32.2,34,30.6,5,37.7
17,30.25,43,31.71,11,34.2
18,30.49,38,27.46,18,30.8
19,26.42,48,23.07,37,27.5
20,22.71,53,21.65,64,24.5
21,20.73,53,20.37,70,19.9
22,19.38,55,18.83,100,19.3
23,18.58,57,17.97,100,18.1
0,16.84,61,16.07,94,16.6
1,15.17,65,14.24,95,15.1
2,13.82,71,13.2,76,13.6
3,13.73,59,8.04,70,11.8
4,11.91,74,10.69,0,11.5
5,11.05,77,10.08,0,11
6,12.29,71,7.6,0,11.8
7,13.95,64,12.69,0,15.5
8,15.86,59,14.74,0,19
9,17.54,51,16.59,0,25.7
10,19.75,42,18.31,0,27.2
11,19.73,38,16.11,0,30.6
12,21.43,38,19.37,0,32.6
13,21.11,52,20.14,0,33.7
14,21.44,46,17.49,0,32.7
15,21.67,47,20.43,0,30.1
16,21.36,46,20.59,0,28.6
17,20.8,51,19.36,0,27.2
18,20.21,49,16.05,0,23.4
19,18.02,58,17.34,0,19.6
20,16.91,60,16.4,0,16.9
21,16.73,62,12.44,0,15
22,16.55,64,12.01,0,14.7
23,15.5,75,11.73,0,13.9
0,14.93,78,11.52,0,13.6
1,15.04,85,12.07,0,13.1
2,16.05,74,15.87,0,13.1
3,16.05,76,15.99,0,12.4
