0,18.86,79,98,18.4
1,18.83,80,100,17.7
2,18.58,78,99,17.4
3,18.03,82,99,17.3
4,17.17,85,15,16.4
5,16.6,88,8,15.2
6,18.09,81,5,15.8
7,18.33,82,4,20.2
8,18.42,76,4,23.7
9,20.31,72,5,25.5
10,21.67,71,1,27.5
11,22.53,61,1,33.7
12,23.33,58,0,33.1
13,24.5,59,0,37.1
14,24.2,54,0,35.6
15,24.51,52,0,35.5
16,23.64,54,0,33.4
17,22.29,62,0,28.3
18,21.11,67,0,26
19,20.39,68,0,22
20,18.89,75,0,19.5
21,18.33,78,0,18.1
22,18.58,83,0,17.5
23,18.02,82,5,16.9
0,18.27,83,0,16.8
1,17.74,81,0,16.6
2,17.71,85,16,16.4
3,17.17,88,18,16.3
4,16.86,90,18,15.1
5,15.66,94,9,14.3
6,19.01,77,6,14.6
7,19.19,78,5,19.2
8,20,77,4,23.4
9,21.18,70,5,27.2
10,21.67,71,1,30.6
11,22.29,68,1,30.5
12,22.53,69,0,32.2
13,22.47,70,0,29.8
14,23.64,66,0,31.6
15,23.4,62,9,32.1
16,23.69,57,24,31.7
17,22.53,54,14,26.9
18,21.36,68,30,24.9
19,19.69,78,46,22
20,18.97,79,43,19.4
21,18.33,85,32,18.4
22,18.02,85,16,17.7
23,18.27,89,1,16.5
0,18.07,87,9,16.8
1,18.28,92,18,16.5
2,17.92,90,19,16.3
3,17.61,88,17,16.1
4,17.31,89,1,15.5
5,17.17,89,0,14.6
6,18.95,87,3,14.6
7,19.75,82,2,19.2
8,20.56,80,1,22.2
9,21.98,75,6,27
10,21.91,68,3,29.6
11,24.51,64,0,33.5
12,24.05,58,0,35.2
13,24.1,54,0,35.8
14,24.29,51,2,36.4
15,24.88,55,5,34.5
16,24.9,50,3,33.1
17,24.44,47,14,29
18,23.29,50,12,27.6
19,20.31,80,9,23.4
20,19.69,86,7,20.4
21,19.49,83,7,19.4
22,19.35,80,48,18.8
23,19.38,89,45,18.3
0,19.38,92,37,18.3
1,19.14,91,27,18.1
2,18.82,91,23,17.9
3,18.83,92,32,17.8
4,18.28,93,18,16.9
5,18.57,92,9,17.2
6,19.44,88,6,17.6
7,21.11,82,5,19.3
8,22.22,76,8,23.8
9,23.09,73,25,26.8
10,24.19,70,100,27.1
11,24.75,70,100,30
12,24.2,68,100,29
13,24.44,68,100,28.9
14,24.19,66,100,28.5
15,24.06,63,100,27.3
16,22.78,73,100,26
17,22.78,76,100,24.9
18,22.22,71,100,24.4
19,22.01,71,100,23.9
20,21.05,82,100,22.3
21,20.74,84,100,21.5
22,20.75,87,100,21
23,18.33,81,100,18.8
0,18.02,87,100,18.2
1,17.98,86,100,17.8
2,17.47,87,85,17.7
3,17.47,86,93,16.7
4,16.87,87,96,16.4
5,14.93,92,98,15.1
6,14.78,87,97,15.1
7,15.61,83,78,16.4
8,18.15,75,64,21.2
9,20.06,71,53,24.9
10,21.72,66,0,29
11,22.22,63,0,31.2
12,23.09,54,0,32.3
13,23.64,51,0,33.6
14,25.07,49,0,34.1
15,24.68,43,0,33.2
16,24.14,40,0,31.1
17,23.72,38,0,28.6
18,22.47,47,0,26
19,20.5,56,0,22.2
20,19.93,53,0,18.9
21,18.18,65,0,16.9
22,17.1,79,0,15.8
23,16.29,86,0,15.1
0,15.74,88,0,13.9
1,14.59,91,0,13.1
2,13.38,95,0,12.5
3,14.43,90,0,11.7
4,14.27,80,0,11.3
5,13.86,81,0,11.2
6,12.69,89,0,11.2
7,15.56,78,0,15.5
8,18.09,70,0,20.9
9,20.87,58,0,26.4
10,23.08,49,0,29.8
11,22.47,42,0,33.1
12,23.1,35,0,34.5
13,26.42,33,0,35.7
14,25.56,32,0,36.2
15,25.87,32,4,35.5
16,25.73,46,45,34
17,23.27,54,37,31.5
18,21.86,58,56,27.1
19,20.6,59,56,22.8
20,19.38,75,44,19.8
21,18.83,78,36,18.6
22,18.22,84,0,17.7
23,18.19,82,0,16.5
0,17.59,86,0,15.8
1,16.74,90,0,15.3
2,16.15,92,0,14.9
3,18.34,63,0,14.4
4,15.88,91,0,14.5
5,17.42,63,16,14.5
6,17.96,72,12,14.8
7,20.31,61,12,18.6
8,21.42,49,10,22.4
9,22.41,50,10,27.7
10,24.19,47,35,28.2
11,24.2,47,46,30.5
12,24.44,48,44,32.1
13,25.56,46,37,33
14,25.81,39,33,33.1
15,26.2,35,28,32.2
16,24.75,45,0,31.5
17,24.13,47,0,29.3
18,23.33,53,1,27.1
19,22.17,59,1,24.1
20,21.91,60,10,21.1
21,21.67,65,19,19.8
22,21.36,74,43,19.1
23,20.8,82,42,19.7
0,20.42,72,42,18.3
1,20.75,79,48,18.5
2,20.42,71,41,17.9
3,19.88,72,42,17.2
4,17.97,81,21,16.1
5,16.7,91,16,15.2
6,16.61,93,75,16
7,17.22,92,10,16.8
8,18.95,85,8,18.8
9,21.79,71,20,23.8
10,24.5,63,0,29.3
11,24.12,57,0,32.8
12,23.73,56,1,34
13,23.39,57,7,34.3
14,22.87,61,16,31.8
15,25.31,56,25,32.3
16,25.25,51,93,30.6
17,23.99,50,94,28.2
18,22.97,54,98,25.3
19,20.5,69,98,22.1
20,18.82,77,84,19.2
21,17.78,78,70,17.3
22,17.34,69,36,16.3
23,16.6,82,0,15.5
0,15.99,83,0,14.8
1,15.44,84,0,14.2
2,15.37,75,0,13.4
3,14.33,87,0,12.8
4,13.72,90,0,12.2
5,12.57,92,0,11.7
6,13.02,83,0,11.2
7,17.78,70,0,14.8
8,19.75,62,0,19.4
9,21.42,56,0,24.2
10,22.53,49,0,28.9
11,22.84,48,0,31.1
12,23.4,43,0,32.6
13,22.22,62,0,30
14,21.05,63,0,33.9
15,21.91,50,0,32
16,21.67,60,11,29.2
17,21.11,59,35,27.4
18,19.69,63,41,25.6
19,19.29,60,36,21.8
20,17.22,68,24,18.5
21,16.67,74,20,16.5
22,15.75,81,0,15.7
23,15.52,77,0,14.2
0,15.41,77,0,13.8
1,14.33,88,10,13.5
2,14.82,76,19,12.8
3,14.02,91,20,12.1
4,14.66,77,1,11.4
5,15.39,72,3,11.4
6,15.63,88,2,12.8
7,19.19,75,2,18.2
8,20.31,70,1,22.9
9,19.74,64,1,24.2
10,21.67,62,0,29.3
11,22.78,52,0,26.4
12,23.64,45,0,28.1
13,24.2,47,0,32
14,24.51,45,0,32.7
15,24.75,43,0,32.7
16,23.95,46,0,29.7
17,22.78,53,0,28.7
18,21.36,64,0,25
19,20,71,0,21.1
20,19.69,74,0,19
21,19.69,75,0,17.9
22,19.69,75,0,17
23,19.69,74,0,17
0,19.69,73,0,16.8
1,19.13,74,0,17.4
2,18.82,77,0,17.3
3,18.28,79,0,16.8
4,17.71,81,0,16
5,17.4,85,0,16
6,18.33,80,0,16.6
7,19.75,74,0,19.9
8,19.34,72,0,22.8
9,21.67,67,0,25.8
10,23.33,62,0,29
11,25,56,0,30.1
12,23.39,72,40,32.2
13,25.56,46,0,32.9
14,25.32,41,0,34.8
15,25.57,37,0,31.9
16,26.49,36,0,29.9
17,25,44,0,28
18,23.89,52,0,26.2
19,22.47,69,7,23.9
20,21.91,68,25,21.2
21,21.36,69,38,19.9
22,21.05,72,100,18.6
23,20.8,72,24,18.4
0,20.19,77,17,18.1
1,19.93,78,13,17.8
2,19.63,74,19,17.2
3,19.08,75,16,16.8
4,18.51,76,0,16.7
5,18.52,74,0,16.5
6,18.28,78,0,16.6
7,19.38,77,0,18.5
8,20.86,68,0,22.2
9,22.54,65,0,25.8
10,23.95,61,0,30.9
11,25.62,51,0,32.2
12,26.67,46,0,33.8
