24.2,47,46,1016,0.45,10.06,30.5
24.44,48,44,1016,0.45,10.06,32.1
25.56,46,37,1015,0.89,10.06,33
24.75,45,0,1014,0.89,10.06,31.5
24.13,47,0,1013,1.79,10.06,29.3
23.33,53,1,1013,0.89,10.06,27.1
22.17,59,1,1014,0.45,10.06,24.1
21.91,60,10,1014,0.89,10.06,21.1
21.67,65,19,1014,0.45,10.38,19.8
21.36,74,43,1015,0.45,10.14,19.1
20.8,82,42,1015,0.14,10.14,19.7
20.75,79,48,1014,2.34,10.14,18.5
20.42,71,41,1014,1.77,10.14,17.9
19.88,72,42,1013,1.33,10.14,17.2
17.97,81,21,1013,1.36,10.14,16.1
16.7,91,16,1014,0.89,10.14,15.2
16.61,93,75,1012,4.1,10.14,16
17.22,92,10,1015,0.45,10.14,16.8
18.95,85,8,1015,0.45,10.14,18.8
21.79,71,20,1015,0.89,10.14,23.8
24.5,63,0,1015,0.89,10.14,29.3
25.31,56,25,1014,1.79,10.14,32.3
25.25,51,93,1014,0.89,10.14,30.6
22.97,54,98,1015,1.34,10.14,25.3
20.5,69,98,1016,1.34,10.14,22.1
18.82,77,84,1018,0.89,10.14,19.2
17.78,78,70,1019,6.24,10.1,17.3
16.6,82,0,1020,5.53,10.08,15.5
15.99,83,0,1020,5.04,10.08,14.8
15.44,84,0,1020,4.5,10.08,14.2
14.33,87,0,1020,4.14,10.08,12.8
13.72,90,0,1020,3.91,10.08,12.2
12.57,92,0,1020,3.62,10.08,11.7
17.78,70,0,1021,0.45,10.08,14.8
19.75,62,0,1022,0.89,10.08,19.4
21.42,56,0,1022,0.89,10.08,24.2
22.53,49,0,1022,0.89,10.08,28.9
22.84,48,0,1021,1.34,10.08,31.1
23.4,43,0,1021,0.45,10.08,32.6
22.22,62,0,1021,1.79,10.08,30
21.05,63,0,1021,1.34,10.08,33.9
21.67,60,11,1020,1.79,10.08,29.2
21.11,59,35,1020,0.89,10.08,27.4
19.69,63,41,1020,0.89,10.08,25.6
17.22,68,24,1021,0.89,10.08,18.5
16.67,74,20,1022,5.5,10.21,16.5
15.75,81,0,1022,5.13,10.4,15.7
14.33,88,10,1021,3.55,10.4,13.5
14.82,76,19,1018,0.89,10.4,12.8
14.02,91,20,1021,2.99,10.4,12.1
14.66,77,1,1018,3.04,10.4,11.4
15.39,72,3,1018,0.45,10.4,11.4
15.63,88,2,1021,2.51,10.4,12.8
19.19,75,2,1022,1.79,10.4,18.2
20.31,70,1,1022,0.89,10.4,22.9
21.67,62,0,1022,1.34,10.4,29.3
22.78,52,0,1021,1.79,10.4,26.4
23.64,45,0,1021,0.89,10.4,28.1
24.2,47,0,1020,0.89,10.4,32
24.51,45,0,1019,0.89,10.4,32.7
24.75,43,0,1019,1.34,10.4,32.7
23.95,46,0,1018,2.68,10.4,29.7
22.78,53,0,1018,1.79,10.4,28.7
21.36,64,0,1018,0.89,10.4,25
20,71,0,1018,1.34,10.4,21.1
19.69,74,0,1018,0.89,10.4,19
19.69,75,0,1019,0.89,10.51,17.9
19.69,75,0,1019,0.89,10.72,17
19.69,74,0,1019,0.89,10.72,17
19.69,73,0,1018,0.89,10.72,16.8
19.13,74,0,1018,0.89,10.72,17.4
18.82,77,0,1018,0.89,10.72,17.3
18.28,79,0,1018,0.89,10.72,16.8
17.71,81,0,1019,4.91,10.72,16
17.4,85,0,1019,4.6,10.72,16
18.33,80,0,1019,0.89,10.72,16.6
19.75,74,0,1020,0.89,10.72,19.9
21.67,67,0,1020,1.79,10.72,25.8
23.33,62,0,1019,1.79,10.72,29
25,56,0,1019,0.89,10.72,30.1
23.39,72,40,1016,5.1,10.72,32.2
25.56,46,0,1018,0.89,10.72,32.9
26.49,36,0,1017,3.85,10.72,29.9
25,44,0,1017,0.89,10.72,28
23.89,52,0,1017,0.89,10.72,26.2
22.47,69,7,1018,0.89,10.72,23.9
21.91,68,25,1018,0.45,10.72,21.2
21.36,69,38,1019,0.89,11.24,19.9
21.05,72,100,1019,0.89,11.07,18.6
20.8,72,24,1019,0.89,11.07,18.4
20.19,77,17,1019,0.45,11.07,18.1
19.93,78,13,1019,0.45,11.07,17.8
19.63,74,19,1019,0.89,11.07,17.2
19.08,75,16,1019,0.45,11.07,16.8
18.51,76,0,1020,0.89,11.07,16.7
18.28,78,0,1021,4.19,11.07,16.6
19.38,77,0,1021,0.89,11.07,18.5
20.86,68,0,1021,0.89,11.07,22.2
22.54,65,0,1021,1.79,11.07,25.8
23.95,61,0,1022,0.89,11.07,30.9
25.62,51,0,1021,0.89,11.07,32.2
26.67,46,0,1020,1.79,11.07,33.8
27.78,35,0,1020,1.34,11.07,34.5
27.78,35,0,1019,1.34,11.07,34.5
28.08,34,0,1019,1.34,11.07,34.7
27.84,35,0,1018,1.34,11.07,32.7
23.33,59,0,1018,1.34,11.07,25.2
21.92,64,0,1019,0.89,11.24,20.6
21.36,68,1,1017,0.89,11.27,19.3
19.06,77,0,1018,6.34,11.27,17.7
20.56,69,0,1019,1.34,11.27,19.9
21.73,64,0,1018,1.34,11.27,22.3
28.33,38,2,1015,2.24,11.27,34.8
30.69,28,0,1012,0.89,11.27,34.5
23.71,59,0,1026,5.96,12.15,20.1
23.64,62,0,1012,0.89,12.15,20.4
22.78,74,99,1011,0.89,12.15,21.7
26.48,53,51,1008,5.81,12.15,26.9
23.28,66,69,1011,1.79,12.15,24.4
19.69,95,100,1011,0.89,11.76,19.6
19.69,97,100,1011,2.45,11.76,20.1
19.69,97,100,1011,0.89,11.76,19.8
20,97,100,1012,1.79,11.76,21.8
20.86,94,100,1012,0.89,11.76,22.9
23.89,82,85,1011,0.89,11.76,28.7
21.6,94,30,1011,1.87,11.76,22.9
21.31,95,13,1011,1.87,11.97,21.8
22.41,83,0,1026,2.25,11.29,21.2
20.44,97,0,1012,2.37,11.29,20.6
20.19,98,0,1011,2.53,11.29,19.4
